id,name,url,type,is_validated,description
103,Cat,https://fr.wikipedia.org/wiki/Cat_(langage),language,TRUE,
104,Cayenne,,language,TRUE,
105,Cecil,,language,TRUE,
106,Cel,,language,TRUE,
107,Cesil,,language,TRUE,
108,Ceylon,https://fr.wikipedia.org/wiki/Ceylon,language,TRUE,
109,CFML,https://fr.wikipedia.org/wiki/ColdFusion,language,TRUE,
110,Cg,,language,TRUE,
111,Ch interpreter,,language,TRUE,
112,CHAIN,,language,TRUE,
113,Chapel,https://fr.wikipedia.org/wiki/Chapel_(langage),language,TRUE,
114,Charity,,language,TRUE,
115,Chef,,language,TRUE,
116,CHILL,https://fr.wikipedia.org/wiki/CHILL,language,TRUE,
117,CHIP-8,https://fr.wikipedia.org/wiki/CHIP-8,language,TRUE,
118,chomski,,language,TRUE,
119,CHR,,language,TRUE,
120,Chrome,,language,TRUE,
121,ChucK,https://fr.wikipedia.org/wiki/ChucK,language,TRUE,
122,CICODE,https://fr.wikipedia.org/wiki/Citect#Cicode,language,TRUE,
123,CIL,https://fr.wikipedia.org/wiki/Common_Intermediate_Language,language,TRUE,
124,Cilk,,language,TRUE,
125,CL,,language,TRUE,
126,Claire,,language,TRUE,
127,Clarion,,language,TRUE,
128,Clean,,language,TRUE,
129,Clipper,https://fr.wikipedia.org/wiki/Clipper_(langage),language,TRUE,
130,CLIST,https://fr.wikipedia.org/wiki/Command_LIST,language,TRUE,
131,Clojure,https://fr.wikipedia.org/wiki/Clojure,language,TRUE,
132,CLU,,language,TRUE,
133,CMS EXEC,,language,TRUE,
134,CMS-2,,language,TRUE,
135,COBOL,https://fr.wikipedia.org/wiki/COBOL,language,TRUE,
136,CobolScript,,language,TRUE,
137,Cobra,,language,TRUE,
138,CODE,,language,TRUE,
139,CoffeeScript,https://fr.wikipedia.org/wiki/CoffeeScript,language,TRUE,
140,Cola,,language,TRUE,
141,ColdC,,language,TRUE,
142,ColdFusion,https://fr.wikipedia.org/wiki/ColdFusion,language,TRUE,
143,COMAL,,language,TRUE,
144,COMIT,,language,TRUE,
145,Common Lisp,https://fr.wikipedia.org/wiki/Common_Lisp,language,TRUE,
146,COMPASS,,language,TRUE,
147,Component Pascal,,language,TRUE,
148,Converge,,language,TRUE,
149,Cool,,language,TRUE,
150,Coq,https://fr.wikipedia.org/wiki/Coq_(logiciel),language,TRUE,
151,Coral 66,,language,TRUE,
152,Corn,,language,TRUE,
153,CorVision,,language,TRUE,
154,Cosmos-f,,language,TRUE,
155,COWSEL,,language,TRUE,
156,CPL,https://fr.wikipedia.org/wiki/Combined_Programming_Language,language,TRUE,
157,Crystal,https://fr.wikipedia.org/wiki/Crystal_(langage_de_programmation),language,TRUE,
158,Csound,https://fr.wikipedia.org/wiki/Csound,language,TRUE,
159,CSP,https://fr.wikipedia.org/wiki/Communicating_sequential_processes,language,TRUE,
160,CSS,https://fr.wikipedia.org/wiki/Feuilles_de_style_en_cascade,language,TRUE,
161,CSS 3,https://fr.wikipedia.org/wiki/Feuilles_de_style_en_cascade,language,TRUE,
162,Cubescript,,language,TRUE,
163,Curl,https://fr.wikipedia.org/wiki/Curl_(langage_de_programmation),language,TRUE,
164,Curry,,language,TRUE,
165,Cyclone,,language,TRUE,
166,D,https://fr.wikipedia.org/wiki/D_(langage),language,TRUE,
167,DaKeoZ,,language,TRUE,
168,Dao,,language,TRUE,
169,DarkBasic,https://fr.wikipedia.org/wiki/DarkBasic,language,TRUE,
170,DarkBASIC,https://fr.wikipedia.org/wiki/DarkBASIC,language,TRUE,
171,Dart,https://fr.wikipedia.org/wiki/Dart_(langage_informatique),language,TRUE,
172,DASL - Datapoint's Advanced Systems Language,,language,TRUE,
173,DASL - Distributed Application Specification Language,,language,TRUE,
174,DataFlex,,language,TRUE,
175,Datalog,https://fr.wikipedia.org/wiki/Datalog,language,TRUE,
176,dBase,https://fr.wikipedia.org/wiki/DBase,language,TRUE,
177,dc,https://fr.wikipedia.org/wiki/Dc_(logiciel),language,TRUE,
178,DCL,,language,TRUE,
179,Deesel,,language,TRUE,
180,Delphi,https://fr.wikipedia.org/wiki/Embarcadero_Delphi,language,TRUE,
181,Devling,,language,TRUE,
182,Dialect,,language,TRUE,
183,Dialog Manager,,language,TRUE,
184,DIBOL,,language,TRUE,
185,DinkC,,language,TRUE,
186,Down,,language,TRUE,
187,Duke C,,language,TRUE,
188,Dylan,https://fr.wikipedia.org/wiki/Dylan_(langage),language,TRUE,
189,Dynace,,language,TRUE,
190,E,,language,TRUE,
191,Ease,,language,TRUE,
192,EASY,,language,TRUE,
193,Easytrieve Classic,,language,TRUE,
194,Easytrieve Plus,,language,TRUE,
195,eC (Ecere C),,language,TRUE,
196,ECMAScript,https://fr.wikipedia.org/wiki/ECMAScript,language,TRUE,
197,eDeveloper,,language,TRUE,
198,Edinburgh IMP,,language,TRUE,
199,EGL,,language,TRUE,
200,Eiffel,https://fr.wikipedia.org/wiki/Eiffel_(langage),language,TRUE,
201,Einstein,,language,TRUE,
202,Elan,,language,TRUE,
203,elastiC,,language,TRUE,
204,Elf,,language,TRUE,
205,Elm,https://fr.wikipedia.org/wiki/Elm_(langage),language,TRUE,
206,Emacs Lisp,https://fr.wikipedia.org/wiki/Emacs_Lisp,language,TRUE,
207,Englesi,,language,TRUE,
208,Epigram,,language,TRUE,
209,Erlang,https://fr.wikipedia.org/wiki/Erlang_(langage),language,TRUE,
210,Escapade,,language,TRUE,
211,Escher,,language,TRUE,
212,Esterel,https://fr.wikipedia.org/wiki/Esterel_(langage),language,TRUE,
213,Etoys,,language,TRUE,
214,Euclid,,language,TRUE,
215,Euler,,language,TRUE,
216,Euphoria,https://fr.wikipedia.org/wiki/Euphoria_(langage),language,TRUE,
217,EXEC 2,,language,TRUE,
218,Extends,,language,TRUE,
219,F,,language,TRUE,
220,F-Script,,language,TRUE,
221,F#,https://fr.wikipedia.org/wiki/F_sharp,language,TRUE,
222,Factor,https://fr.wikipedia.org/wiki/Factor_(langage),language,TRUE,
223,Falcon,https://fr.wikipedia.org/wiki/Falcon_(langage),language,TRUE,
224,FALSE,,language,TRUE,
225,Fan,,language,TRUE,
226,Fancy,,language,TRUE,
227,Fantom,,language,TRUE,
228,FAUST,https://fr.wikipedia.org/wiki/FAUST_(langage),language,TRUE,
229,Felix,,language,TRUE,
230,Ferite,https://fr.wikipedia.org/wiki/Ferite,language,TRUE,
231,FFP,,language,TRUE,
232,Fjölnir,https://fr.wikipedia.org/wiki/Fj%C3%B6lnir_(langage),language,TRUE,
233,FL,,language,TRUE,
234,Flavors,,language,TRUE,
235,FLOW-MATIC,https://fr.wikipedia.org/wiki/FLOW-MATIC,language,TRUE,
236,Fly,,language,TRUE,
237,FOCAL,,language,TRUE,
238,FOCUS,,language,TRUE,
239,FOIL,,language,TRUE,
240,FORMAC,,language,TRUE,
241,Forth,https://fr.wikipedia.org/wiki/Forth_(langage),language,TRUE,
242,Fortran,https://fr.wikipedia.org/wiki/Fortran,language,TRUE,
243,Fortress,https://fr.wikipedia.org/wiki/Fortress_(langage),language,TRUE,
244,FoxPro 2,,language,TRUE,
245,FP,,language,TRUE,
246,FranceScript,,language,TRUE,
247,Franz Lisp,,language,TRUE,
248,FreeBasic,https://fr.wikipedia.org/wiki/FreeBasic,language,TRUE,
249,FSProg,https://fr.wikipedia.org/wiki/FSProg,language,TRUE,
250,Funnel,,language,TRUE,
251,Fuxi,,language,TRUE,
252,G-code,https://fr.wikipedia.org/wiki/Programmation_de_commande_num%C3%A9rique,language,TRUE,
253,Gambas,https://fr.wikipedia.org/wiki/Gambas_(langage),language,TRUE,
254,GAMS,https://fr.wikipedia.org/wiki/General_algebraic_modeling_system,language,TRUE,
255,GAP,https://fr.wikipedia.org/wiki/GAP_(logiciel_de_calcul_formel),language,TRUE,
256,GAP (RGP),https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9rateur_automatique_de_programmes,language,TRUE,
257,GDL,https://fr.wikipedia.org/wiki/Geometric_Description_Language,language,TRUE,
258,GFA BASIC,https://fr.wikipedia.org/wiki/GFA_BASIC,language,TRUE,
259,Gibiane,https://fr.wikipedia.org/wiki/Gibiane,language,TRUE,
260,GJ,,language,TRUE,
261,GLSL,https://fr.wikipedia.org/wiki/GLSL,language,TRUE,
262,GM,,language,TRUE,
263,GML (Game Maker Language),https://fr.wikipedia.org/wiki/Game_Maker_Language,language,TRUE,
264,Go,https://fr.wikipedia.org/wiki/Go_(langage),language,TRUE,
265,Go!,https://fr.wikipedia.org/wiki/Go!_(langage),language,TRUE,
266,GOAL,,language,TRUE,
267,Gödel,,language,TRUE,
268,Godiva,,language,TRUE,
269,Goo,,language,TRUE,
270,GOTO++,,language,TRUE,
271,GOTRAN,,language,TRUE,
272,GPSS,,language,TRUE,
273,Grammer,,language,TRUE,
274,GraphTalk,https://fr.wikipedia.org/wiki/Computer_Sciences_Corporation,language,TRUE,
275,GRASS,,language,TRUE,
276,Green,,language,TRUE,
277,GrooveX,,language,TRUE,
278,Groovy,https://fr.wikipedia.org/wiki/Groovy_(langage),language,TRUE,
279,GW-Basic,https://fr.wikipedia.org/wiki/GW-Basic,language,TRUE,
280,GW-Basic,https://fr.wikipedia.org/wiki/GW-Basic,language,TRUE,
281,Hack,https://fr.wikipedia.org/wiki/Hack_(langage),language,TRUE,
282,HAL/S,https://fr.wikipedia.org/wiki/HAL/S,language,TRUE,
283,Haskell,https://fr.wikipedia.org/wiki/Haskell,language,TRUE,
284,Haxe,https://fr.wikipedia.org/wiki/Haxe,language,TRUE,
285,High Level Assembly,https://fr.wikipedia.org/wiki/High_Level_Assembly,language,TRUE,
286,HLSL,https://fr.wikipedia.org/wiki/High_Level_Shader_Language,language,TRUE,
287,Hop,https://fr.wikipedia.org/wiki/Hop_(langage),language,TRUE,
288,Hope,,language,TRUE,
289,Hugo,,language,TRUE,
290,IBM Basic Assembly Language (BAL),,language,TRUE,
291,IBM Informix-4GL,https://fr.wikipedia.org/wiki/IBM_Informix-4GL,language,TRUE,
292,IBM RPG,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9rateur_automatique_de_programmes,language,TRUE,
293,ICI,,language,TRUE,
294,Icon,,language,TRUE,
295,Id,,language,TRUE,
296,IDL (Interactive Data Language),https://fr.wikipedia.org/wiki/IDL_(langage),language,TRUE,
297,IL,https://fr.wikipedia.org/wiki/Liste_d%27instructions,language,TRUE,
298,IMP,,language,TRUE,
299,Inform,https://fr.wikipedia.org/wiki/Inform_(programmation),language,TRUE,
300,INTERCAL,https://fr.wikipedia.org/wiki/INTERCAL,language,TRUE,
301,Io,https://fr.wikipedia.org/wiki/Io_(langage),language,TRUE,
302,Ioke,https://fr.wikipedia.org/wiki/Ioke_(langage_de_programmation),language,TRUE,
303,IPL,https://fr.wikipedia.org/wiki/Information_Processing_Language,language,TRUE,
304,IPTSCRAE,,language,TRUE,
305,Isnubi,,language,TRUE,
306,ISWIM,https://fr.wikipedia.org/wiki/ISWIM,language,TRUE,
307,J,https://fr.wikipedia.org/wiki/J_(langage),language,TRUE,
308,J#,https://fr.wikipedia.org/wiki/J_sharp,language,TRUE,
309,Jackson Structured Programming,,language,TRUE,
310,JADE,https://fr.wikipedia.org/wiki/JADE_(langage_de_programmation),language,TRUE,
311,Jako,,language,TRUE,
312,JAL,,language,TRUE,
313,Janus,,language,TRUE,
314,JASS,,language,TRUE,
315,Java,https://fr.wikipedia.org/wiki/Java_(langage),language,TRUE,
316,JavaScript,https://fr.wikipedia.org/wiki/JavaScript,language,TRUE,
317,JCL (Job Control Langage),,language,TRUE,
318,JEAN,,language,TRUE,
319,Join Java,,language,TRUE,
320,JOSS,,language,TRUE,
321,Joule,,language,TRUE,
322,JOVIAL,,language,TRUE,
323,Joy,https://fr.wikipedia.org/wiki/Joy_(langage),language,TRUE,
324,JSP,https://fr.wikipedia.org/wiki/JavaServer_Pages,language,TRUE,
325,Julia,https://fr.wikipedia.org/wiki/Julia_(langage_de_programmation),language,TRUE,
326,K,,language,TRUE,
327,Kafe,,language,TRUE,
328,Kaleidoscope,,language,TRUE,
329,Karel,https://fr.wikipedia.org/wiki/Karel_(langage_de_programmation),language,TRUE,
330,Karel++,,language,TRUE,
331,Kaya,https://fr.wikipedia.org/wiki/Kaya_(langage_de_programmation),language,TRUE,
332,KEE,,language,TRUE,
333,Kiev,,language,TRUE,
334,KIF,,language,TRUE,
335,Kite,,language,TRUE,
336,Kogut,,language,TRUE,
337,Korn shell (ksh),https://fr.wikipedia.org/wiki/Korn_shell,language,TRUE,
338,Kotlin,https://fr.wikipedia.org/wiki/Kotlin_(langage),language,TRUE,
339,KRC,,language,TRUE,
340,KRYPTON,,language,TRUE,
341,KUKA,,language,TRUE,
342,L,,language,TRUE,
343,L# .NET,,language,TRUE,
344,LabVIEW,https://fr.wikipedia.org/wiki/LabVIEW,language,TRUE,
345,Ladder (LD),https://fr.wikipedia.org/wiki/Langage_Ladder,language,TRUE,
346,Lagoona,,language,TRUE,
347,LANSA,,language,TRUE,
348,LARP,,language,TRUE,
349,Lasso,https://fr.wikipedia.org/wiki/Lasso_(langage),language,TRUE,
350,Lava,,language,TRUE,
351,Leadwerks Script,,language,TRUE,
352,Leda,,language,TRUE,
353,leekwars,,language,TRUE,
354,Legoscript,https://fr.wikipedia.org/wiki/Lego_Mindstorms,language,TRUE,
355,Lexico,,language,TRUE,
356,Light Script,,language,TRUE,
357,Limbo,https://fr.wikipedia.org/wiki/Limbo_(langage),language,TRUE,
358,Limnor,,language,TRUE,
359,LINC,,language,TRUE,
360,Lingo,https://fr.wikipedia.org/wiki/Lingo,language,TRUE,
361,Linoleum,,language,TRUE,
362,Linotte,https://fr.wikipedia.org/wiki/Linotte_(langage),language,TRUE,
363,LIS,,language,TRUE,
364,LISA,,language,TRUE,
365,Lisaac,https://fr.wikipedia.org/wiki/Lisaac,language,TRUE,
366,Lisp,https://fr.wikipedia.org/wiki/Lisp,language,TRUE,
367,Lithe,,language,TRUE,
368,Little b,,language,TRUE,
369,Logo,https://fr.wikipedia.org/wiki/Logo_(langage),language,TRUE,
370,LOLCODE,https://fr.wikipedia.org/wiki/LOLCODE,language,TRUE,
371,LPC,,language,TRUE,
372,LSE,https://fr.wikipedia.org/wiki/LSE_(langage_de_programmation),language,TRUE,
373,LSL,https://fr.wikipedia.org/wiki/Second_Life#Scripts,language,TRUE,
374,Lua,https://fr.wikipedia.org/wiki/Lua,language,TRUE,
375,Lucci,,language,TRUE,
376,Lucid,,language,TRUE,
377,Lush,,language,TRUE,
378,Lustre,https://fr.wikipedia.org/wiki/Lustre_(langage),language,TRUE,
379,LYaPAS,,language,TRUE,
380,Lynx,,language,TRUE,
381,LZX,,language,TRUE,
382,M,https://fr.wikipedia.org/wiki/M_(langage),language,TRUE,
383,M4,,language,TRUE,
384,MAD,,language,TRUE,
385,Magik,https://fr.wikipedia.org/wiki/Magik_(langage_de_programmation),language,TRUE,
386,Magma,,language,TRUE,
387,Malbolge,https://fr.wikipedia.org/wiki/Malbolge,language,TRUE,
388,MapBasic,https://fr.wikipedia.org/wiki/MapBasic,language,TRUE,
389,Maple,https://fr.wikipedia.org/wiki/Maple,language,TRUE,
390,MAPPER,https://fr.wikipedia.org/wiki/Mapper,language,TRUE,
391,MARK-IV,,language,TRUE,
392,Mary,,language,TRUE,
393,Mathematica,https://fr.wikipedia.org/wiki/Mathematica,language,TRUE,
394,MATLAB,https://fr.wikipedia.org/wiki/MATLAB,language,TRUE,
395,Maxima,https://fr.wikipedia.org/wiki/Maxima_(logiciel),language,TRUE,
396,MaxScript (Autodesk 3ds Max),https://fr.wikipedia.org/wiki/Autodesk_3ds_Max,language,TRUE,
397,Maya (MEL),https://fr.wikipedia.org/wiki/Maya_Embedded_Language,language,TRUE,
398,MDL,,language,TRUE,
399,Mercury,,language,TRUE,
400,Mesa,,language,TRUE,
401,MetaL,,language,TRUE,
402,Metamath,https://fr.wikipedia.org/wiki/Metamath,language,TRUE,
403,Micro Lua DS,https://fr.wikipedia.org/wiki/Micro_Lua_DS,language,TRUE,
404,MicroAlg,,language,TRUE,
405,Microcode,,language,TRUE,
406,MicroScript,,language,TRUE,
407,Microsoft Macro Assembler,https://fr.wikipedia.org/wiki/Microsoft_Macro_Assembler,language,TRUE,
408,Microsoft Small Basic,https://fr.wikipedia.org/wiki/Microsoft_Small_Basic,language,TRUE,
409,MIIS,,language,TRUE,
410,MillScript,,language,TRUE,
411,MIMIC,,language,TRUE,
412,min,,language,TRUE,
413,Mindscript,,language,TRUE,
414,Miranda,,language,TRUE,
415,mIRC,https://fr.wikipedia.org/wiki/MIRC,language,TRUE,
416,MisterDev,,language,TRUE,
417,Miva Script,https://fr.wikipedia.org/wiki/Miva_Script,language,TRUE,
418,ML,https://fr.wikipedia.org/wiki/ML_(langage),language,TRUE,
419,Moby,,language,TRUE,
420,Model 204,,language,TRUE,
421,Modula,https://fr.wikipedia.org/wiki/Modula,language,TRUE,
422,Modula-2,https://fr.wikipedia.org/wiki/Modula-2,language,TRUE,
423,Modula-3,https://fr.wikipedia.org/wiki/Modula-3,language,TRUE,
424,Mondrian,,language,TRUE,
425,MOO,,language,TRUE,
426,Mortran,,language,TRUE,
427,Moto,,language,TRUE,
428,Mouse,,language,TRUE,
429,MPD,,language,TRUE,
430,MPP,,language,TRUE,
431,MSIL (CIL),https://fr.wikipedia.org/wiki/Common_Intermediate_Language,language,TRUE,
432,MSL,,language,TRUE,
433,MSX BASIC,,language,TRUE,
434,MUMPS,https://fr.wikipedia.org/wiki/MUMPS,language,TRUE,
435,Mythryl,,language,TRUE,
436,N,,language,TRUE,
437,Napier88,,language,TRUE,
438,Natural,https://fr.wikipedia.org/wiki/Natural,language,TRUE,
439,NBC,https://fr.wikipedia.org/wiki/Next_Byte_Codes,language,TRUE,
440,Ncodi,,language,TRUE,
441,NEAT chipset,,language,TRUE,
442,Neko,https://fr.wikipedia.org/wiki/Neko_(langage),language,TRUE,
443,Nemerle,,language,TRUE,
444,Neonitisme,,language,TRUE,
445,NESL,,language,TRUE,
446,NestJs,,language,TRUE,
447,Net.Data,,language,TRUE,
448,NetLogo,https://fr.wikipedia.org/wiki/NetLogo,language,TRUE,
449,NewLISP,,language,TRUE,
450,NEWP,,language,TRUE,
451,NewtonScript,,language,TRUE,
452,NGL,,language,TRUE,
453,Nial,,language,TRUE,
454,Nice,,language,TRUE,
455,Nickle,,language,TRUE,
456,Nil,,language,TRUE,
457,Nit,,language,TRUE,
458,Nosi,,language,TRUE,
459,NPL,,language,TRUE,
460,NQC,https://fr.wikipedia.org/wiki/Not_Quite_C,language,TRUE,
461,Nu,,language,TRUE,
462,Nutty,,language,TRUE,
463,NXC,https://fr.wikipedia.org/wiki/Not_eXactly_C,language,TRUE,
464,NXT-G,https://fr.wikipedia.org/wiki/Lego_Mindstorms_NXT#Programmation,language,TRUE,
465,Nyquist,https://fr.wikipedia.org/wiki/Nyquist_(langage),language,TRUE,
466,o:XML,,language,TRUE,
467,Oak,https://fr.wikipedia.org/wiki/Oak_(langage_de_programmation),language,TRUE,
468,Oberon,https://fr.wikipedia.org/wiki/Oberon_(langage),language,TRUE,
469,Object Lisp,,language,TRUE,
470,Objective-C,https://fr.wikipedia.org/wiki/Objective-C,language,TRUE,
471,Objective-J,https://fr.wikipedia.org/wiki/Objective-J,language,TRUE,
472,ObjectLOGO,,language,TRUE,
473,Obliq,,language,TRUE,
474,Obol,,language,TRUE,
475,OCaml,https://fr.wikipedia.org/wiki/OCaml,language,TRUE,
476,occam,https://fr.wikipedia.org/wiki/Occam_(langage),language,TRUE,
477,occam-p,,language,TRUE,
478,OmniMark,,language,TRUE,
479,ooc,https://fr.wikipedia.org/wiki/Ooc_(langage),language,TRUE,
480,Opa,https://fr.wikipedia.org/wiki/Opa_(logiciel),language,TRUE,
481,Opal,,language,TRUE,
482,OpenEdge ABL,,language,TRUE,
483,OPL,,language,TRUE,
484,OPS5,,language,TRUE,
485,ORCA/Modula-2,,language,TRUE,
486,Ork,,language,TRUE,
487,Orwell,,language,TRUE,
488,Oxygene,,language,TRUE,
489,Oz,https://fr.wikipedia.org/wiki/Oz_(langage),language,TRUE,
490,P4,https://fr.wikipedia.org/wiki/P4_(langage),language,TRUE,
491,Panoramic,https://fr.wikipedia.org/wiki/PANORAMIC,language,TRUE,
492,PARI/GP,https://fr.wikipedia.org/wiki/PARI/GP,language,TRUE,
493,Pascal,https://fr.wikipedia.org/wiki/Pascal_(langage),language,TRUE,
494,Pascal Objet,https://fr.wikipedia.org/wiki/Pascal_Objet,language,TRUE,
495,Pawn,https://fr.wikipedia.org/wiki/Pawn_(langage_de_programmation),language,TRUE,
496,PCASTL,,language,TRUE,
497,PCF,,language,TRUE,
498,PEARL,,language,TRUE,
499,Perl,https://fr.wikipedia.org/wiki/Perl_(langage),language,TRUE,
500,Pharo,https://fr.wikipedia.org/wiki/Pharo,language,TRUE,
501,PHP,https://fr.wikipedia.org/wiki/PHP,language,TRUE,
502,Phrogram,https://fr.wikipedia.org/wiki/Phrogram,language,TRUE,
503,Pi-calcul,https://fr.wikipedia.org/wiki/Pi-calcul,language,TRUE,
504,Pico,,language,TRUE,
505,Pict,,language,TRUE,
506,Piet,https://fr.wikipedia.org/wiki/Piet,language,TRUE,
507,Pike,https://fr.wikipedia.org/wiki/Pike_(langage),language,TRUE,
508,PIKT,,language,TRUE,
509,PILOT,https://fr.wikipedia.org/wiki/PILOT,language,TRUE,
510,Pizza,https://fr.wikipedia.org/wiki/Pizza_(langage_de_programmation),language,TRUE,
511,PL-11,,language,TRUE,
512,PL/0,,language,TRUE,
513,PL/B,,language,TRUE,
514,PL/C,,language,TRUE,
